Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-07-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-07-01,11.190
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-07-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-07-01,24.220
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-07-01,0.000
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-07-01,0.350
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-07-01,0.850
Interest Rate on Deposits and Loans in USD,Overdraft,2016-07-01,4.320
Interest Rate on Deposits and Loans in USD,Credit Card,2016-07-01,2.130
Interest Rate on Deposits and Loans in USD,Term Loans,2016-07-01,8.460
Interest Rate on Deposits and Loans in USD,Other Loans,2016-07-01,17.990
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-07-01,10.840
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-07-01,7.540
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-07-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-08-01,0.210
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-08-01,1.410
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-08-01,3.560
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-08-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-08-01,10.200
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-08-01,21.650
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-08-01,24.640
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-08-01,0.000
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-08-01,0.360
Interest Rate on Deposits and Loans in USD,Overdraft,2016-08-01,0.810
Interest Rate on Deposits and Loans in USD,Credit Card,2016-08-01,3.340
Interest Rate on Deposits and Loans in USD,Term Loans,2016-08-01,1.080
Interest Rate on Deposits and Loans in USD,Other Loans,2016-08-01,7.570
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-08-01,12.550
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-08-01,12.470
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-08-01,7.450
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-08-01,0.180
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-08-01,1.240
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-08-01,6.670
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-08-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-08-01,11.210
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-08-01,21.650
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-08-01,24.130
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-08-01,0.000
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-08-01,0.310
Interest Rate on Deposits and Loans in USD,Overdraft,2016-08-01,0.840
Interest Rate on Deposits and Loans in USD,Credit Card,2016-08-01,4.300
Interest Rate on Deposits and Loans in USD,Term Loans,2016-08-01,2.120
Interest Rate on Deposits and Loans in USD,Other Loans,2016-08-01,8.440
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-08-01,17.110
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-08-01,10.790
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-08-01,7.580
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-08-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-09-01,0.560
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-09-01,1.540
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-09-01,4.210
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-09-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-09-01,9.820
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-09-01,21.600
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-09-01,23.500
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-09-01,0.000
Interest Rate on Deposits and Loans in USD,Overdraft,2016-09-01,0.690
Interest Rate on Deposits and Loans in USD,Credit Card,2016-09-01,0.800
Interest Rate on Deposits and Loans in USD,Term Loans,2016-09-01,3.580
Interest Rate on Deposits and Loans in USD,Other Loans,2016-09-01,1.260
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-09-01,7.460
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-09-01,13.730
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-09-01,12.410
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-09-01,7.430
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-09-01,0.190
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-09-01,1.210
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-09-01,6.730
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-09-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-09-01,11.600
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-09-01,21.640
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-09-01,23.720
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-09-01,0.000
Interest Rate on Deposits and Loans in USD,Overdraft,2016-09-01,0.370
Interest Rate on Deposits and Loans in USD,Credit Card,2016-09-01,0.840
Interest Rate on Deposits and Loans in USD,Term Loans,2016-09-01,4.300
Interest Rate on Deposits and Loans in USD,Other Loans,2016-09-01,2.160
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-09-01,8.380
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-09-01,17.220
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-09-01,10.800
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-09-01,7.590
Interest Rate on Deposits and Loans in USD,Overdraft,2016-09-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-10-01,0.120
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-10-01,1.470
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-10-01,5.640
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-10-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-10-01,10.380
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-10-01,21.610
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-10-01,23.440
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-10-01,0.000
Interest Rate on Deposits and Loans in USD,Credit Card,2016-10-01,0.180
Interest Rate on Deposits and Loans in USD,Term Loans,2016-10-01,0.800
Interest Rate on Deposits and Loans in USD,Other Loans,2016-10-01,3.540
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-10-01,1.210
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-10-01,6.570
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-10-01,13.820
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-10-01,12.000
Interest Rate on Deposits and Loans in USD,Overdraft,2016-10-01,6.650
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-10-01,0.200
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-10-01,1.220
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-10-01,6.710
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-10-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-10-01,11.090
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-10-01,21.630
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-10-01,23.360
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-10-01,0.000
Interest Rate on Deposits and Loans in USD,Credit Card,2016-10-01,0.380
Interest Rate on Deposits and Loans in USD,Term Loans,2016-10-01,0.860
Interest Rate on Deposits and Loans in USD,Other Loans,2016-10-01,4.340
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-10-01,2.050
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-10-01,8.400
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-10-01,16.740
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-10-01,10.760
Interest Rate on Deposits and Loans in USD,Overdraft,2016-10-01,7.570
Interest Rate on Deposits and Loans in USD,Credit Card,2016-10-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-11-01,0.080
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-11-01,1.470
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-11-01,4.790
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-11-01,22.310
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-11-01,21.600
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-11-01,23.340
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-11-01,0.000
Interest Rate on Deposits and Loans in USD,Term Loans,2016-11-01,0.080
Interest Rate on Deposits and Loans in USD,Other Loans,2016-11-01,0.710
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-11-01,3.380
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-11-01,1.100
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-11-01,6.600
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-11-01,14.770
Interest Rate on Deposits and Loans in USD,Overdraft,2016-11-01,9.510
Interest Rate on Deposits and Loans in USD,Credit Card,2016-11-01,6.610
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-11-01,0.220
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-11-01,1.220
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-11-01,6.520
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-11-01,10.490
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-11-01,21.630
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-11-01,23.140
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-11-01,0.000
Interest Rate on Deposits and Loans in USD,Term Loans,2016-11-01,0.360
Interest Rate on Deposits and Loans in USD,Other Loans,2016-11-01,0.690
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-11-01,4.340
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-11-01,1.950
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-11-01,8.380
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-11-01,16.660
Interest Rate on Deposits and Loans in USD,Overdraft,2016-11-01,10.670
Interest Rate on Deposits and Loans in USD,Credit Card,2016-11-01,7.600
Interest Rate on Deposits and Loans in USD,Term Loans,2016-11-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-12-01,0.090
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-12-01,1.470
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-12-01,6.440
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-12-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-12-01,9.970
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-12-01,21.600
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-12-01,20.440
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-12-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2016-12-01,0.670
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-12-01,0.890
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-12-01,3.680
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-12-01,1.070
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-12-01,7.490
Interest Rate on Deposits and Loans in USD,Overdraft,2016-12-01,12.810
Interest Rate on Deposits and Loans in USD,Credit Card,2016-12-01,10.180
Interest Rate on Deposits and Loans in USD,Term Loans,2016-12-01,6.320
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-12-01,0.150
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-12-01,1.200
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-12-01,6.610
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-12-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-12-01,9.200
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-12-01,21.620
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-12-01,22.190
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-12-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2016-12-01,0.340
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-12-01,0.870
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-12-01,4.470
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-12-01,2.030
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-12-01,8.270
Interest Rate on Deposits and Loans in USD,Overdraft,2016-12-01,16.370
Interest Rate on Deposits and Loans in USD,Credit Card,2016-12-01,10.610
Interest Rate on Deposits and Loans in USD,Term Loans,2016-12-01,7.480
Interest Rate on Deposits and Loans in USD,Other Loans,2016-12-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2017-01-01,0.060
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2017-01-01,1.200
Interest Rate on Deposits and Loans in KHR,Term Deposits,2017-01-01,5.410
Interest Rate on Deposits and Loans in KHR,Other Deposits,2017-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2017-01-01,23.780
Interest Rate on Deposits and Loans in KHR,Credit Card,2017-01-01,21.600
Interest Rate on Deposits and Loans in KHR,Term Loans,2017-01-01,32.060
Interest Rate on Deposits and Loans in KHR,Other Loans,2017-01-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2017-01-01,0.160
Interest Rate on Deposits and Loans in USD,Saving Deposits,2017-01-01,0.690
Interest Rate on Deposits and Loans in USD,Term Deposits,2017-01-01,3.500
Interest Rate on Deposits and Loans in USD,Other Deposits,2017-01-01,1.430
Interest Rate on Deposits and Loans in USD,Overdraft,2017-01-01,7.490
Interest Rate on Deposits and Loans in USD,Credit Card,2017-01-01,14.270
Interest Rate on Deposits and Loans in USD,Term Loans,2017-01-01,10.780
Interest Rate on Deposits and Loans in USD,Other Loans,2017-01-01,6.220
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2017-01-01,0.490
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2017-01-01,1.250
Interest Rate on Deposits and Loans in KHR,Term Deposits,2017-01-01,6.620
Interest Rate on Deposits and Loans in KHR,Other Deposits,2017-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2017-01-01,9.700
Interest Rate on Deposits and Loans in KHR,Credit Card,2017-01-01,21.620
Interest Rate on Deposits and Loans in KHR,Term Loans,2017-01-01,22.450
Interest Rate on Deposits and Loans in KHR,Other Loans,2017-01-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2017-01-01,0.480
Interest Rate on Deposits and Loans in USD,Saving Deposits,2017-01-01,0.860
Interest Rate on Deposits and Loans in USD,Term Deposits,2017-01-01,4.460
Interest Rate on Deposits and Loans in USD,Other Deposits,2017-01-01,1.880
Interest Rate on Deposits and Loans in USD,Overdraft,2017-01-01,8.430
Interest Rate on Deposits and Loans in USD,Credit Card,2017-01-01,15.860
Interest Rate on Deposits and Loans in USD,Term Loans,2017-01-01,10.560
Interest Rate on Deposits and Loans in USD,Other Loans,2017-01-01,7.260
Interest Rate on Deposits and Loans in USD,Demand Deposits,2017-01-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2017-02-01,0.090
Interest Rate on Deposits and Loans in KHR,Term Deposits,2017-02-01,1.250
Interest Rate on Deposits and Loans in KHR,Other Deposits,2017-02-01,6.270
Interest Rate on Deposits and Loans in KHR,Overdraft,2017-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2017-02-01,23.460
Interest Rate on Deposits and Loans in KHR,Term Loans,2017-02-01,21.600
Interest Rate on Deposits and Loans in KHR,Other Loans,2017-02-01,20.360
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2017-02-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2017-02-01,0.210
Interest Rate on Deposits and Loans in USD,Term Deposits,2017-02-01,0.710
Interest Rate on Deposits and Loans in USD,Other Deposits,2017-02-01,3.520
Interest Rate on Deposits and Loans in USD,Overdraft,2017-02-01,1.540
Interest Rate on Deposits and Loans in USD,Credit Card,2017-02-01,7.600
Interest Rate on Deposits and Loans in USD,Term Loans,2017-02-01,14.320
Interest Rate on Deposits and Loans in USD,Other Loans,2017-02-01,10.750
Interest Rate on Deposits and Loans in USD,Demand Deposits,2017-02-01,6.020
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2017-02-01,0.190
Interest Rate on Deposits and Loans in KHR,Term Deposits,2017-02-01,1.330
Interest Rate on Deposits and Loans in KHR,Other Deposits,2017-02-01,6.580
Interest Rate on Deposits and Loans in KHR,Overdraft,2017-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2017-02-01,9.680
Interest Rate on Deposits and Loans in KHR,Term Loans,2017-02-01,21.620
Interest Rate on Deposits and Loans in KHR,Other Loans,2017-02-01,21.980
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2017-02-01,11.430
Interest Rate on Deposits and Loans in USD,Saving Deposits,2017-02-01,0.570
Interest Rate on Deposits and Loans in USD,Term Deposits,2017-02-01,0.860
